CWE,CWE Count,EPSS
NVD-CWE-Other,27863,0.056797047338764665
NVD-CWE-noinfo,22149,0.028588626123075535
CWE-79,21337,0.00846064395182078
CWE-119,11397,0.13897545757655524
CWE-89,9061,0.013519045359231874
CWE-20,8950,0.0509463061452514
CWE-787,7667,0.025434609364810224
CWE-200,6694,0.022509997012249774
CWE-264,5271,0.034922621893378865
CWE-22,4968,0.051850028180354266
CWE-125,4709,0.011594975578679126
CWE-352,4173,0.0063174862209441655
CWE-416,3121,0.03875462351810317
CWE-287,2892,0.03726525933609959
CWE-94,2864,0.16231964734636872
CWE-399,2545,0.13029847151277013
CWE-310,2461,0.008593055668427468
CWE-78,2456,0.09043406758957655
CWE-476,2010,0.01331307960199005
CWE-190,1766,0.01815091166477916
CWE-120,1570,0.013841694267515922
CWE-434,1474,0.04702237449118046
CWE-269,1453,0.01408997935306263
CWE-77,1244,0.052693102893890675
CWE-862,1243,0.01269385358004827
CWE-863,1223,0.010101610793131642
CWE-189,1218,0.13598642857142856
CWE-362,1216,0.009489358552631577
CWE-400,1206,0.013546442786069651
CWE-284,984,0.028077896341463415
CWE-732,981,0.005482670744138634
CWE-798,951,0.04346169295478444
CWE-59,898,0.008509331848552338
CWE-502,889,0.07272103487064117
CWE-611,832,0.015025757211538463
CWE-295,815,0.003179128834355828
CWE-306,782,0.0314960358056266
CWE-276,739,0.003800920162381597
CWE-255,732,0.019209945355191254
CWE-522,730,0.010199178082191781
CWE-918,727,0.027779229711141676
CWE-601,711,0.010002334739803094
CWE-74,706,0.04245453257790368
CWE-668,667,0.009381724137931034
CWE-770,508,0.012461594488188977
CWE-427,502,0.0030253386454183262
CWE-532,488,0.00568
CWE-835,452,0.01774825221238938
CWE-401,445,0.00599076404494382
CWE-319,423,0.004287919621749409
CWE-426,391,0.01080237851662404
CWE-772,378,0.008332460317460317
CWE-415,376,0.01456223404255319
CWE-254,373,0.01542053619302949
CWE-312,364,0.002644835164835165
CWE-327,356,0.002684578651685393
CWE-617,354,0.013098276836158194
CWE-203,329,0.008205744680851064
CWE-755,327,0.00799125382262997
CWE-639,305,0.002562655737704918
CWE-347,300,0.006578366666666666
CWE-134,292,0.09322095890410959
CWE-326,278,0.009315827338129497
CWE-345,253,0.006786086956521739
CWE-16,253,0.052871976284584975
CWE-843,253,0.061918972332015806
CWE-369,246,0.0023240650406504064
CWE-908,246,0.06735215447154472
CWE-129,241,0.012065311203319502
CWE-384,230,0.005991130434782608
CWE-209,226,0.00720137168141593
CWE-665,223,0.015453452914798207
CWE-1321,218,0.009522477064220183
CWE-754,218,0.0032108256880733948
CWE-19,218,0.0817412385321101
CWE-1021,212,0.001092688679245283
CWE-613,212,0.0022314622641509433
CWE-307,208,0.003550144230769231
CWE-330,208,0.012346442307692308
CWE-704,196,0.02616321428571429
CWE-121,195,0.007422153846153846
CWE-311,194,0.004407938144329897
CWE-404,187,0.01798957219251337
CWE-552,183,0.013587704918032786
CWE-674,179,0.008420167597765364
CWE-367,173,0.0017868786127167632
CWE-346,168,0.005645952380952381
CWE-17,160,0.034360062499999997
CWE-1236,153,0.00429718954248366
CWE-444,152,0.028134539473684213
CWE-122,151,0.020172384105960266
CWE-290,148,0.04260614864864865
CWE-281,140,0.006909357142857143
CWE-917,139,0.03266251798561151
CWE-191,138,0.016958985507246376
CWE-88,136,0.02432183823529412
CWE-428,136,0.0005922794117647059
CWE-824,133,0.027987518796992482
CWE-521,131,0.0022612213740458016
CWE-1188,125,0.02496744
CWE-640,119,0.019589327731092437
CWE-610,117,0.02036871794871795
CWE-116,108,0.030050740740740742
CWE-425,96,0.031578125
CWE-922,96,0.011030520833333335
CWE-294,94,0.0033332978723404254
CWE-285,80,0.01477425
CWE-829,79,0.04199354430379747
CWE-459,73,0.012879452054794521
CWE-354,72,0.0022336111111111116
CWE-682,70,0.002368285714285714
CWE-494,70,0.016926285714285717
CWE-91,68,0.02250308823529412
CWE-252,65,0.017447076923076923
CWE-338,64,0.01051609375
CWE-909,64,0.00239859375
CWE-697,63,0.014713333333333333
CWE-834,61,0.0024659016393442624
CWE-667,61,0.005913278688524591
CWE-275,59,0.0023584745762711863
CWE-916,57,0.004645438596491229
CWE-131,54,0.01928351851851852
CWE-693,53,0.024179056603773584
Missing_Data,53,0.0006118867924528302
CWE-193,53,0.04827320754716981
CWE-763,51,0.004979607843137255
CWE-331,51,0.005009607843137255
CWE-670,51,0.0015941176470588236
CWE-681,50,0.029999
CWE-706,40,0.030101
CWE-669,40,0.025678249999999996
CWE-776,38,0.002601052631578947
CWE-93,37,0.006473513513513513
CWE-1333,37,0.000678918918918919
CWE-788,36,0.002512222222222222
CWE-212,35,0.001126857142857143
CWE-436,35,0.029071428571428574
CWE-662,34,0.0009100000000000001
CWE-388,33,0.024613636363636365
CWE-320,30,0.023641000000000002
CWE-565,30,0.003841666666666667
CWE-913,27,0.03758851851851852
CWE-358,25,0.007169999999999999
CWE-113,23,0.0033465217391304347
CWE-672,22,0.0012945454545454545
CWE-266,20,0.000962
CWE-335,20,0.0222935
CWE-256,19,0.0008042105263157895
CWE-273,18,0.008853888888888889
CWE-178,17,0.059658235294117644
CWE-250,16,0.00071125
CWE-377,15,0.000744
CWE-288,14,0.0018650000000000001
CWE-417,14,0.004377142857142857
CWE-123,14,0.0031242857142857144
CWE-321,13,0.0015284615384615384
CWE-126,13,0.0011223076923076922
CWE-184,13,0.14510384615384614
CWE-118,13,0.0031192307692307695
CWE-822,12,0.0017075
CWE-90,12,0.04849916666666667
CWE-23,12,0.07992583333333333
CWE-185,12,0.08565083333333334
CWE-80,11,0.0011
CWE-924,10,0.001077
CWE-457,10,0.0008309999999999999
CWE-749,10,0.007165
CWE-470,10,0.009317
CWE-73,10,0.002061
CWE-538,10,0.001065
CWE-297,9,0.0018077777777777777
CWE-359,9,0.0027722222222222224
CWE-172,9,0.0022199999999999998
CWE-912,8,0.01012
CWE-332,8,0.021271250000000002
CWE-472,7,0.0026857142857142856
CWE-385,7,0.00467
CWE-201,7,0.0009371428571428571
CWE-305,7,0.0023799999999999997
CWE-838,7,0.0011214285714285714
CWE-361,7,0.0275
CWE-789,7,0.0005385714285714285
CWE-18,6,0.031213333333333333
CWE-61,6,0.0008933333333333333
CWE-379,6,0.0006
CWE-799,6,0.00127
CWE-117,6,0.0010083333333333333
CWE-199,6,0.0026266666666666665
CWE-489,6,0.0008133333333333333
CWE-248,6,0.0019633333333333334
CWE-170,6,0.002195
CWE-259,5,0.0016220000000000002
CWE-823,5,0.0011519999999999998
CWE-1284,5,0.001074
CWE-208,5,0.00071
CWE-471,5,0.002294
CWE-441,5,0.023166
CWE-497,5,0.000624
CWE-407,5,0.00156
CWE-99,5,0.0019979999999999998
CWE-406,4,0.0012075
CWE-548,4,0.000945
CWE-378,4,0.000435
CWE-300,4,0.0013200000000000002
CWE-840,4,0.00071
CWE-805,3,0.0006833333333333334
CWE-648,3,0.00051
CWE-95,3,0.0020933333333333333
CWE-130,3,0.0012633333333333333
CWE-204,3,0.00066
CWE-440,3,0.0009633333333333333
CWE-1336,3,0.00063
CWE-707,3,0.003623333333333333
CWE-21,3,0.003076666666666667
CWE-664,3,0.0013499999999999999
CWE-1187,3,0.0031433333333333335
CWE-353,3,0.0011533333333333333
CWE-920,3,0.0006666666666666666
CWE-592,3,0.004083333333333334
CWE-460,3,0.00043
CWE-405,3,0.0010933333333333333
CWE-453,2,0.00045
CWE-1,2,0.00199
CWE-620,2,0.00048499999999999997
CWE-534,2,0.011555
CWE-302,2,0.00132
CWE-940,2,0.00047000000000000004
CWE-1022,2,0.00074
CWE-1220,2,0.000455
CWE-1274,2,0.00042
CWE-240,2,0.0012900000000000001
CWE-202,2,0.0015700000000000002
CWE-778,2,0.0006399999999999999
CWE-708,2,0.0016450000000000002
CWE-228,2,0.0019450000000000001
CWE-257,2,0.0009450000000000001
CWE-642,2,0.00116
CWE-657,2,0.00072
CWE-241,2,0.000745
CWE-769,2,0.001725
CWE-807,2,0.00123
CWE-124,2,0.000705
CWE-194,2,0.0009599999999999999
CWE-943,2,0.012015
CWE-75,2,0.001175
CWE-304,2,0.000945
CWE-911,2,0.001185
CWE-603,2,0.000905
CWE-115,2,0.0023450000000000003
CWE-318,2,0.00044
CWE-1004,2,0.00047999999999999996
CWE-833,2,0.000445
CWE-280,2,0.0006900000000000001
CWE-349,2,0.00046
CWE-267,2,0.00107
CWE-549,2,0.00046
CWE-350,2,0.001235
CWE-757,2,0.0010999999999999998
CWE-1286,2,0.000465
CWE-342,2,0.0034000000000000002
CWE-842,2,0.00043
CWE-680,2,0.00056
CWE-112,2,0.001825
CWE-1287,1,0.00044
CWE-29,1,0.00042
CWE-391,1,0.00044
CWE-923,1,0.0006
CWE-691,1,0.00043
CWE-363,1,0.00048
CWE-24,1,0.00053
CWE-424,1,0.00053
CWE-395,1,0.00053
CWE-690,1,0.00049
CWE-1283,1,0.00045
CWE-602,1,0.00091
CWE-1077,1,0.00062
CWE-141,1,0.00057
CWE-562,1,0.00106
CWE-1026,1,0.00091
CWE-571,1,0.00044
CWE-187,1,0.00091
CWE-941,1,0.00048
CWE-523,1,0.00087
CWE-524,1,0.00052
CWE-1282,1,0.00042
CWE-1391,1,0.00043
CWE-322,1,0.00089
CWE-35,1,0.00089
CWE-451,1,0.00105
CWE-274,1,0.0005
CWE-98,1,0.00171
CWE-1320,1,0.00045
CWE-597,1,0.0014
CWE-455,1,0.00042
CWE-671,1,0.0007
CWE-1258,1,0.00087
CWE-84,1,0.0009
CWE-146,1,0.00045
CWE-1108,1,0.00087
CWE-895,1,0.0011
CWE-242,1,0.00084
CWE-183,1,0.00303
CWE-643,1,0.00124
CWE-435,1,0.00074
CWE-323,1,0.00135
CWE-270,1,0.00054
CWE-299,1,0.00044
CWE-303,1,0.00313
CWE-506,1,0.00202
CWE-364,1,0.00044
CWE-114,1,0.00042
CWE-684,1,0.00091
CWE-268,1,0.00042
CWE-325,1,0.0026
CWE-371,1,0.00159
CWE-313,1,0.00173
CWE-216,1,0.00042
CWE-628,1,0.00502
CWE-573,1,0.00054
CWE-317,1,0.00057
CWE-337,1,0.00052
CWE-260,1,0.00235
CWE-774,1,0.00074
CWE-775,1,0.00044
CWE-235,1,0.00063
CWE-759,1,0.00179
CWE-567,1,0.00054
CWE-525,1,0.00042
CWE-507,1,0.00201
CWE-456,1,0.00088
CWE-214,1,0.00152
CWE-15,1,0.00147
CWE-1329,1,0.00059
CWE-1278,1,0.00059
CWE-315,1,0.00044
CWE-710,1,0.00104
CWE-277,1,0.00111
CWE-649,1,0.00133
CWE-36,1,0.00102
CWE-539,1,0.00069
CWE-283,1,0.00071
CWE-598,1,0.00072
CWE-527,1,0.00242
CWE-644,1,0.00072
CWE-540,1,0.00094
CWE-64,1,0.00042
CWE-1076,1,0.0005
CWE-279,1,0.00117
CWE-334,1,0.00054
CWE-195,1,0.06265
CWE-271,1,0.00068
CWE-760,1,0.00046
CWE-229,1,0.00046
